country,founded,id,industry,linkedin_url,locality,name,region,size,website
malaysia,2014,thymeoutkl,food & beverages,linkedin.com/company/thymeoutkl,petaling jaya,thyme out,selangor,11-50,thymeoutkl.com
malaysia,2014,urbean,food & beverages,linkedin.com/company/urbean,kuala lumpur,urbean cafe´,kuala lumpur,1-10,urbean.com.my
malaysia,2014,offpeak-my,food & beverages,linkedin.com/company/offpeak-my,petaling jaya,offpeak,selangor,11-50,
malaysia,2014,boatnoodle,food & beverages,linkedin.com/company/boatnoodle,shah alam,boat noodle,selangor,201-500,boatnoodle.com.my
malaysia,2014,global-virtue-private-limited,food & beverages,linkedin.com/company/global-virtue-private-limited,kajang,chickano (m) sdn bhd,selangor,11-50,chickano.sg
malaysia,2013,sugarrushmalaysia,food & beverages,linkedin.com/company/sugarrushmalaysia,petaling jaya,sugar rush sdn bhd,selangor,11-50,facebook.com/sugarrush.desserts
malaysia,2013,bake-to-play-group,food & beverages,linkedin.com/company/bake-to-play-group,petaling jaya,bake to play,selangor,11-50,baketoplay.com
malaysia,2013,shellout-sdn-bhd,food & beverages,linkedin.com/company/shellout-sdn-bhd,petaling jaya,shell out®️ sdn bhd,selangor,51-200,shellout.com.my
malaysia,2013,thursdvys,food & beverages,linkedin.com/company/thursdvys,kuala lumpur,thursdvys,kuala lumpur,11-50,facebook.com/thursdvys
malaysia,2013,gulf-asia-oils-and-fats-sdn-bhd,food & beverages,linkedin.com/company/gulf-asia-oils-and-fats-sdn-bhd,kuala lumpur,gulf asia oils and fats sdn bhd,kuala lumpur,51-200,gulfasiaoils.com
malaysia,2013,salad-atelier-cafe,food & beverages,linkedin.com/company/salad-atelier-cafe,batu caves,salad atelier cafe,selangor,1-10,saladatelier.com
malaysia,2013,open-kitchen-sdn-bhd,food & beverages,linkedin.com/company/open-kitchen-sdn-bhd,kota kinabalu,open kitchen sdn bhd,sabah,1-10,theopenkitchen.co
malaysia,2012,thrive-edition-sdn-bhd,food & beverages,linkedin.com/company/thrive-edition-sdn-bhd,kuala lumpur,thrive edition sdn bhd,kuala lumpur,11-50,houseofmini.my
malaysia,2012,baristaguildasia,food & beverages,linkedin.com/company/baristaguildasia,petaling jaya,barista guild asia,selangor,1-10,bga.com.my
malaysia,2012,gelatomio-wholesale-sdn-bhd,food & beverages,linkedin.com/company/gelatomio-wholesale-sdn-bhd,petaling jaya,gelatomio wholesale sdn bhd,selangor,1-10,facebook.com/gelatowholesale
malaysia,2012,tedboy,food & beverages,linkedin.com/company/tedboy,petaling jaya,tedboy,selangor,51-200,tedboy.com
malaysia,2012,madeleine-patisserie-sdn-bhd,food & beverages,linkedin.com/company/madeleine-patisserie-sdn-bhd,damansara,madeleine patisserie sdn bhd,selangor,1-10,madeleine.com.my
malaysia,2011,horngwell-foodstuff-industries-sdn-bhd,food & beverages,linkedin.com/company/horngwell-foodstuff-industries-sdn-bhd,lunas,horngwell foodstuff industries sdn bhd,kedah,1-10,horngwell.com
malaysia,2011,crush-foods-sdn.-bhd.,food & beverages,linkedin.com/company/crush-foods-sdn.-bhd.,petaling jaya,crush foods sdn. bhd.,selangor,11-50,facebook.com/mycrushfoods
malaysia,2011,thediningcafe-path,food & beverages,linkedin.com/company/thediningcafe-path,sungai petani,小旅 / p.a.t.h.,kedah,1-10,facebook.com/the-dining-cafe-path-160881667311654
malaysia,2011,anggun-dinamik-holdings-sdn-bhd,food & beverages,linkedin.com/company/anggun-dinamik-holdings-sdn-bhd,shah alam,anggun dinamik holdings sdn bhd,selangor,11-50,anggunchef.com
malaysia,2011,yummylicious,food & beverages,linkedin.com/company/yummylicious,petaling jaya,yummylicious,selangor,1-10,facebook.com/luvyummylicious
malaysia,2010,whisk-espresso-bar-bakeshop,food & beverages,linkedin.com/company/whisk-espresso-bar-bakeshop,petaling jaya,whisk,selangor,11-50,facebook.com/whisk.kl
malaysia,2010,imperia-asia,food & beverages,linkedin.com/company/imperia-asia,klang,imperia asia,selangor,51-200,imperiaasia.com
malaysia,2010,euro-house-diner,food & beverages,linkedin.com/company/euro-house-diner,ipoh,euro house,perak,51-200,facebook.com/pg/eurohousepage
malaysia,2010,smoosh-the-creative-juicers-sdn-bhd,food & beverages,linkedin.com/company/smoosh-the-creative-juicers-sdn-bhd,petaling jaya,smoosh the creative juicers sdn bhd,selangor,1-10,smooshiejuice.com
malaysia,2010,loob-holding-sdn-bhd,food & beverages,linkedin.com/company/loob-holding-sdn-bhd,petaling jaya,loob holding sdn bhd,selangor,501-1000,chatime.com.my
malaysia,2010,ladang-sari-international,food & beverages,linkedin.com/company/ladang-sari-international,shah alam,ladang sari international sdn. bhd.,selangor,1-10,rhymbahills.com
malaysia,2010,ayam-penyet-api-sdn-bhd,food & beverages,linkedin.com/company/ayam-penyet-api-sdn-bhd,subang jaya,ayam penyet api sdn bhd,selangor,201-500,ayampenyet-ap.com
malaysia,2010,bigonioncaterersb,food & beverages,linkedin.com/company/bigonioncaterersb,batu,big onion food caterer,kuala lumpur,51-200,bigonioncaterer.com.my
malaysia,2010,teaffani-catering,food & beverages,linkedin.com/company/teaffani-catering,shah alam,teaffani catering,selangor,51-200,teaffani.com
malaysia,2009,eat-drink-kl,food & beverages,linkedin.com/company/eat-drink-kl,petaling jaya,eat drink kl,selangor,1-10,eatdrinkkl.com
malaysia,2009,mountain-fresh-fruit-juices-asia,food & beverages,linkedin.com/company/mountain-fresh-fruit-juices-asia,petaling jaya,mountain fresh fruit juices asia,selangor,11-50,mountainfresh.com.my
malaysia,2009,ayamazz-sdn-bhd,food & beverages,linkedin.com/company/ayamazz-sdn-bhd,kuala lumpur,ayamazz sdn bhd,kuala lumpur,11-50,frankbuns.com.my
malaysia,2008,happywater,food & beverages,linkedin.com/company/happywater,kuala lumpur,ebm sdn. bhd,kuala lumpur,11-50,happywater.my
malaysia,2008,houseoftastesdnbhd,food & beverages,linkedin.com/company/houseoftastesdnbhd,petaling jaya,house of taste sdn bhd,selangor,51-200,
malaysia,2008,bevecobeverage,food & beverages,linkedin.com/company/bevecobeverage,petaling jaya,beveco sdn bhd,selangor,1-10,bevecobeverage.com
malaysia,2008,passionatecakes,food & beverages,linkedin.com/company/passionatecakes,shah alam,passionate cakes,selangor,1-10,facebook.com/pg/passionatecakes.my
malaysia,2007,hakka-connexion-restaurant,food & beverages,linkedin.com/company/hakka-connexion-restaurant,george town,hakka connexion restaurant,penang,1-10,hakkaconnexion.wordpress.com
